key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID
0,,,0,0,0,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.7014999999999958],1,0,1,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.399799999997029],2,0,2,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.2613999999985026],3,0,3,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.2079999999999842],4,0,4,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.20839999999853376],5,0,5,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[-0.025699999995538292],6,0,6,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.26710000000147716],7,0,7,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.2504999999999882],8,0,8,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
"[""comma""]",0,[0.21720000000300388],9,0,9,0,1,5f9703fb588a4d05da750510,Mężczyzna,21,2021-07-13_21h56.23.685,rantool2,2021.1.4,Win32,60.03121623,5f9703fb588a4d05da750510,60d9d14f4a8a35a482e0d9bf,60edef9c1c8eacaa4345fe69
