key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_7.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,0,0,41,1,61311fd128819c143e3409f9,ROROORO,ROROORR,20.42602454,21.71443381,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,,,,,,,,
j,0,1,1,33,1,61311fd128819c143e3409f9,ROOOORO,ROOOORR,20.83779602,22.03072203,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.942,,,,,,,,
f,0,2,2,53,1,61311fd128819c143e3409f9,RRORORO,RRORORR,20.71309134,21.90565814,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.049,,,,,,,,
f,0,3,3,14,1,61311fd128819c143e3409f9,OORRROO,OORRROR,22.24142883,22.16977179,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.248,,,,,,,,
j,0,4,4,55,1,61311fd128819c143e3409f9,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.242,,,,,,,,
j,0,5,5,52,1,61311fd128819c143e3409f9,RROROOO,RROROOR,22.18365867,22.11097995,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.963,,,,,,,,
f,0,6,6,21,1,61311fd128819c143e3409f9,ORORORO,ORORORR,20.39515459,22.06781359,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,4.352,,,,,,,,
j,0,7,7,24,1,61311fd128819c143e3409f9,ORROOOO,ORROOOR,21.12383932,22.07102821,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.741,,,,,,,,
j,0,8,8,12,1,61311fd128819c143e3409f9,OORROOO,OORROOR,21.30250474,22.02786418,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,4,,,,,,,,
j,0,9,9,26,1,61311fd128819c143e3409f9,ORROROO,ORROROR,22.02732763,21.71443381,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.269,,,,,,,,
j,0,10,10,49,1,61311fd128819c143e3409f9,RROOORO,RROOORR,21.76276513,22.53364006,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.638,,,,,,,,
f,0,11,11,1,1,61311fd128819c143e3409f9,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.551,,,,,,,,
f,0,12,12,25,1,61311fd128819c143e3409f9,ORROORO,ORROORR,21.79500819,22.61624387,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.216,,,,,,,,
f,0,13,13,19,1,61311fd128819c143e3409f9,OROORRO,OROORRR,21.73568164,22.11181017,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.538,,,,,,,,
j,0,14,14,46,1,61311fd128819c143e3409f9,RORRROO,RORRROR,22.00300695,21.24781509,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.467,,,,,,,,
f,0,15,15,60,1,61311fd128819c143e3409f9,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.116,,,,,,,,
f,0,16,16,56,1,61311fd128819c143e3409f9,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.165,,,,,,,,
f,0,17,17,38,1,61311fd128819c143e3409f9,ROORROO,ROORROR,21.79500819,21.36812781,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.115,,,,,,,,
