key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,3.3197,0,0,0,25,1,5b92e784f0d8ee0001c1de58,ORROORO,ORROORR,21.79500819,22.61624387,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,2.6138,0,1,1,10,1,5b92e784f0d8ee0001c1de58,OOROROO,OOROROR,21.31236711,21.07490964,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.2894,0,2,2,48,1,5b92e784f0d8ee0001c1de58,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,2.1232,0,3,3,1,1,5b92e784f0d8ee0001c1de58,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.1022,0,4,4,8,1,5b92e784f0d8ee0001c1de58,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,1.3636,0,5,5,23,1,5b92e784f0d8ee0001c1de58,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.5762,0,6,6,30,1,5b92e784f0d8ee0001c1de58,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,1.6478,0,7,7,44,1,5b92e784f0d8ee0001c1de58,RORROOO,RORROOR,21.66733484,22.02566557,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,1.3191,0,8,8,58,1,5b92e784f0d8ee0001c1de58,RRROROO,RRROROR,22.1285618,21.37121559,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.1429,0,9,9,41,1,5b92e784f0d8ee0001c1de58,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.3176,0,10,10,35,1,5b92e784f0d8ee0001c1de58,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,0.956,0,11,11,50,1,5b92e784f0d8ee0001c1de58,RROOROO,RROOROR,21.73568164,22.02566557,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.1595,0,12,12,17,1,5b92e784f0d8ee0001c1de58,OROOORO,OROOORR,21.03750787,22.12173012,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,1.0566,0,13,13,22,1,5b92e784f0d8ee0001c1de58,ORORROO,ORORROR,22.02732763,21.57657071,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
j,1.3743,0,14,14,15,1,5b92e784f0d8ee0001c1de58,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,0.951,0,15,15,4,1,5b92e784f0d8ee0001c1de58,OOOROOO,OOOROOR,19.91402015,21.21223021,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.8479,0,16,16,31,1,5b92e784f0d8ee0001c1de58,ORRRRRO,ORRRRRR,22.16413392,20.74050628,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.3643,0,17,17,37,1,5b92e784f0d8ee0001c1de58,ROORORO,ROORORR,20.42602454,21.57657071,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.3608,0,18,18,29,1,5b92e784f0d8ee0001c1de58,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.5515,0,19,19,60,1,5b92e784f0d8ee0001c1de58,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.5484,0,20,20,18,1,5b92e784f0d8ee0001c1de58,OROOROO,OROOROR,20.84860893,21.22513037,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.2636,0,21,21,61,1,5b92e784f0d8ee0001c1de58,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.472,0,22,22,33,1,5b92e784f0d8ee0001c1de58,ROOOORO,ROOOORR,20.83779602,22.03072203,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.8152,0,23,23,0,1,5b92e784f0d8ee0001c1de58,OOOOOOO,OOOOOOR,18.52739004,19.62521613,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.0842,0,24,24,63,1,5b92e784f0d8ee0001c1de58,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.2248,0,25,25,52,1,5b92e784f0d8ee0001c1de58,RROROOO,RROROOR,22.18365867,22.11097995,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.1363,0,26,26,16,1,5b92e784f0d8ee0001c1de58,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.4709,0,27,27,12,1,5b92e784f0d8ee0001c1de58,OORROOO,OORROOR,21.30250474,22.02786418,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,2.168,0,28,28,62,1,5b92e784f0d8ee0001c1de58,RRRRROO,RRRRROR,22.16413392,21.27974287,series_0,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.9803,0,29,29,24,1,5b92e784f0d8ee0001c1de58,ORROOOO,ORROOOR,21.12383932,22.07102821,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.7499,0,30,30,43,1,5b92e784f0d8ee0001c1de58,RORORRO,RORORRR,20.71309134,21.07490964,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.3406,0,31,31,2,1,5b92e784f0d8ee0001c1de58,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.0923,0,32,32,13,1,5b92e784f0d8ee0001c1de58,OORRORO,OORRORR,21.66733484,22.11181017,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.0317,0,33,33,9,1,5b92e784f0d8ee0001c1de58,OOROORO,OOROORR,21.07991943,22.2428857,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,1.0809,0,34,34,7,1,5b92e784f0d8ee0001c1de58,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
f,0.9988,0,35,35,27,1,5b92e784f0d8ee0001c1de58,ORRORRO,ORRORRR,21.55250791,22.2428857,series_1,5b92e784f0d8ee0001c1de58,Kobieta,28,2021-09-06_18h46.13.232,rantool2,2021.1.4,Win32,59.39653124,6135e006383e6ea6c3d06a28,6136434b80892edfff659eee,,,,,,,,
