key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID
,0,0,0,39,1,6124fe0ef8d0188d927ad3c9,ROORRRO,ROORRRR,21.82425538,21.38562617,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,1,1,10,1,6124fe0ef8d0188d927ad3c9,OOROROO,OOROROR,21.31236711,21.07490964,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,2,2,16,1,6124fe0ef8d0188d927ad3c9,OROOOOO,OROOOOR,20.43051175,21.17347734,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,3,3,14,1,6124fe0ef8d0188d927ad3c9,OORRROO,OORRROR,22.24142883,22.16977179,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,4,4,54,1,6124fe0ef8d0188d927ad3c9,RRORROO,RRORROR,21.55250791,20.9984461,series_0,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,5,5,33,1,6124fe0ef8d0188d927ad3c9,ROOOORO,ROOOORR,20.83779602,22.03072203,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,6,6,17,1,6124fe0ef8d0188d927ad3c9,OROOORO,OROOORR,21.03750787,22.12173012,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,7,7,44,1,6124fe0ef8d0188d927ad3c9,RORROOO,RORROOR,21.66733484,22.02566557,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,8,8,49,1,6124fe0ef8d0188d927ad3c9,RROOORO,RROOORR,21.76276513,22.53364006,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
,0,9,9,25,1,6124fe0ef8d0188d927ad3c9,ORROORO,ORROORR,21.79500819,22.61624387,series_1,6124fe0ef8d0188d927ad3c9,Mężczyzna,19,2021-09-06_18h54.29.649,rantool2,2021.1.4,Win32,60.0276127,6135e006383e6ea6c3d06a28,61364682919e6abd16f68b50
