key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID
j,2.1398,0,0,0,17,1,5f34450f7e8a1018defb8934,OROOORO,OROOORR,21.03750787,22.12173012,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.3066,0,1,1,10,1,5f34450f7e8a1018defb8934,OOROROO,OOROROR,21.31236711,21.07490964,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.0438,0,2,2,34,1,5f34450f7e8a1018defb8934,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.3091,0,3,3,2,1,5f34450f7e8a1018defb8934,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.7586,0,4,4,30,1,5f34450f7e8a1018defb8934,ORRRROO,ORRRROR,22.46748491,22.03072203,series_0,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,1.2257,0,5,5,20,1,5f34450f7e8a1018defb8934,OROROOO,OROROOR,21.31236711,21.90565814,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.0954,0,6,6,8,1,5f34450f7e8a1018defb8934,OOROOOO,OOROOOR,19.91402015,20.89823192,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
j,1.3412,0,7,7,19,1,5f34450f7e8a1018defb8934,OROORRO,OROORRR,21.73568164,22.11181017,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,3.0047,0,8,8,32,1,5f34450f7e8a1018defb8934,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
f,2.6462,0,9,9,60,1,5f34450f7e8a1018defb8934,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,5f34450f7e8a1018defb8934,Mężczyzna,22,2021-09-06_19h00.17.095,rantool2,2021.1.4,Win32,59.95922773,6135e006383e6ea6c3d06a28,61364901f39253c656d66bae
