key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,0,0,9,1,5f19902fd2b95f025c1b0ff3,OOROORO,OOROORR,21.07991943,22.2428857,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,1,1,43,1,5f19902fd2b95f025c1b0ff3,RORORRO,RORORRR,20.71309134,21.07490964,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,2,2,4,1,5f19902fd2b95f025c1b0ff3,OOOROOO,OOOROOR,19.91402015,21.21223021,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,3,3,15,1,5f19902fd2b95f025c1b0ff3,OORRRRO,OORRRRR,22.10108823,21.74922619,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,4,4,60,1,5f19902fd2b95f025c1b0ff3,RRRROOO,RRRROOR,22.10108823,22.15934078,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,5,5,24,1,5f19902fd2b95f025c1b0ff3,ORROOOO,ORROOOR,21.12383932,22.07102821,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,6,6,5,1,5f19902fd2b95f025c1b0ff3,OOORORO,OOORORR,20.87963819,21.9921709,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,7,7,47,1,5f19902fd2b95f025c1b0ff3,RORRRRO,RORRRRR,21.81333602,21.02936224,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,8,8,51,1,5f19902fd2b95f025c1b0ff3,RROORRO,RROORRR,21.89852628,22.02786418,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,9,9,37,1,5f19902fd2b95f025c1b0ff3,ROORORO,ROORORR,20.42602454,21.57657071,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,10,10,56,1,5f19902fd2b95f025c1b0ff3,RRROOOO,RRROOOR,21.6194508,22.31681875,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,11,11,42,1,5f19902fd2b95f025c1b0ff3,ROROROO,ROROROR,20.39515459,19.8361834,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,12,12,29,1,5f19902fd2b95f025c1b0ff3,ORRRORO,ORRRORR,22.00300695,22.12173012,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,13,13,23,1,5f19902fd2b95f025c1b0ff3,ORORRRO,ORORRRR,22.1285618,21.9921709,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,14,14,32,1,5f19902fd2b95f025c1b0ff3,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,15,15,36,1,5f19902fd2b95f025c1b0ff3,ROOROOO,ROOROOR,21.07991943,20.9984461,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,16,16,25,1,5f19902fd2b95f025c1b0ff3,ORROORO,ORROORR,21.79500819,22.61624387,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,17,17,34,1,5f19902fd2b95f025c1b0ff3,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,18,18,35,1,5f19902fd2b95f025c1b0ff3,ROOORRO,ROOORRR,21.76276513,22.16977179,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,19,19,41,1,5f19902fd2b95f025c1b0ff3,ROROORO,ROROORR,20.42602454,21.71443381,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
